Fid,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Alerts_Warnings,AttackType,Action_Taken,Severity_Level,Device_Information,Network_Segment,Geolocation_Data,ProxyInformation,FirewallLogs,IDS_IPS_Alerts,Log_Source
10.42.0.211-121.12.98.63-49723-80-6,10-08-22 7:17,128.188.144.132,53.172.41.48,14898,57967,UDP,956,Control,DNS,Alert Triggered,1,Ignored,Low,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_4) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/45.0.895.0 Safari/531.0",Segment A,"Khora , Rajasthan",220.211.79.217,Log Data,Alert Data,Server
180.149.138.210-10.42.0.211-80-51330-6,02-11-21 14:18,108.41.54.98,19.201.245.58,24854,31149,UDP,359,Control,FTP,Alert Triggered,0,Blocked,Low,Opera/9.38.(X11; Linux i686; sd-PK) Presto/2.9.185 Version/12.00,Segment B,"Latur, Kerala",206.234.98.179,Unknown,Unknown,Server
10.42.0.211-123.125.29.220-41315-80-6,14-06-22 20:29,119.109.228.4,49.126.188.170,26997,28432,TCP,718,Data,FTP,Unknown,0,Ignored,Medium,Mozilla/5.0 (Android 3.2; Mobile; rv:19.0) Gecko/19.0 Firefox/19.0,Segment C,"Bally, Andhra Pradesh",Unknown,Log Data,Unknown,Firewall
192.229.173.136-10.42.0.42-443-58071-6,14-05-22 19:43,164.217.175.34,18.215.245.204,26871,30068,TCP,703,Control,HTTP,Alert Triggered,0,Ignored,Low,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.1),Segment B,"Nagpur, Gujarat",206.68.100.25,Log Data,Alert Data,Firewall
10.42.0.42-13.107.3.128-41560-443-6,17-09-21 1:01,199.157.122.56,157.205.225.52,55049,56286,ICMP,763,Control,DNS,Alert Triggered,0,Ignored,Low,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; yo-NG) AppleWebKit/532.8.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6532.8.1",Segment A,"Bhilwara, Mizoram",Unknown,Log Data,Unknown,Firewall
10.42.0.1-10.42.0.42-53-34207-17,26-11-21 6:25,179.176.52.212,220.65.124.161,55627,23546,UDP,414,Data,FTP,Alert Triggered,0,Ignored,Low,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/57.0.861.0 Safari/536.1",Segment B,"Etawah, Assam",Unknown,Log Data,Alert Data,Firewall
202.77.129.150-10.42.0.42-80-59079-6,03-09-20 3:26,164.211.101.237,187.240.101.172,17804,52120,ICMP,325,Data,FTP,Unknown,0,Blocked,Low,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/25.0.852.0 Safari/532.0",Segment C,"Motihari, Meghalaya",168.180.210.134,Log Data,Alert Data,Server
10.42.0.211-23.21.51.186-43832-443-6,23-09-22 20:20,134.232.84.196,46.219.57.169,40227,2930,ICMP,594,Control,HTTP,Unknown,0,Ignored,Medium,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.0),Segment C,"Saharanpur, Arunachal Pradesh",Unknown,Unknown,Unknown,Server
205.204.101.196-10.42.0.151-443-51074-6,25-06-22 0:07,174.198.138.19,62.69.21.6,57482,25050,ICMP,523,Control,FTP,Alert Triggered,0,Blocked,High,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_3; rv:1.9.4.20) Gecko/9175-09-29 01:48:04 Firefox/3.6.4,Segment B,"Bhilai, Odisha",82.196.95.120,Unknown,Unknown,Firewall
151.101.21.140-10.42.0.211-443-60368-6,13-04-22 16:46,18.110.253.194,48.103.9.92,38345,4316,UDP,1399,Data,FTP,Unknown,0,Blocked,High,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/15.1g2665.0 Mobile/68T920 Safari/532.0",Segment A,"Dhule, Telangana",Unknown,Unknown,Alert Data,Firewall
10.42.0.211-10.42.0.1-1853-53-17,28-03-22 6:54,212.96.90.160,121.233.227.221,48740,65110,ICMP,86,Data,FTP,Alert Triggered,0,Blocked,Low,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_9) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/34.0.853.0 Safari/533.1",Segment A,"Thoothukudi, Madhya Pradesh",Unknown,Log Data,Alert Data,Firewall
10.42.0.211-98.139.199.204-52212-443-6,25-09-23 15:13,167.122.95.17,119.89.207.217,5535,19385,UDP,340,Control,FTP,Alert Triggered,1,Ignored,High,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_8 rv:3.0; en-HK) AppleWebKit/533.1.2 (KHTML, like Gecko) Version/4.0.5 Safari/533.1.2",Segment C,"Bilaspur, Meghalaya",125.13.211.62,Log Data,Unknown,Firewall
209.10.120.26-10.42.0.211-80-34317-6,16-09-23 7:41,60.26.147.46,132.46.53.173,33310,22844,TCP,581,Control,DNS,Unknown,0,Blocked,Medium,"Mozilla/5.0 (Windows CE) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/62.0.879.0 Safari/531.0",Segment C,"Raebareli, Nagaland",Unknown,Unknown,Alert Data,Server
10.42.0.211-68.67.178.230-50316-443-6,26-06-23 4:20,8.249.142.168,98.195.218.6,47818,35118,TCP,881,Control,DNS,Alert Triggered,0,Logged,Medium,Opera/9.58.(Windows NT 5.1; gu-IN) Presto/2.9.176 Version/10.00,Segment B,"Gurgaon, Uttar Pradesh",Unknown,Unknown,Alert Data,Server
10.42.0.151-10.42.0.1-61871-53-17,03-10-22 15:26,157.240.52.188,135.123.174.77,2461,19770,UDP,255,Control,DNS,Unknown,0,Ignored,Medium,Opera/8.37.(Windows NT 6.2; mk-MK) Presto/2.9.172 Version/11.00,Segment C,"Solapur, Uttar Pradesh",186.155.192.113,Unknown,Alert Data,Firewall
174.35.73.78-10.42.0.151-80-48216-6,23-03-20 12:56,187.66.113.95,140.92.47.29,14648,15660,TCP,623,Data,HTTP,Alert Triggered,0,Logged,Medium,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_3; rv:1.9.3.20) Gecko/6886-02-09 22:03:14 Firefox/3.6.13,Segment C,"Loni, Tripura",Unknown,Unknown,Alert Data,Server
10.42.0.211-31.13.80.5-57844-443-6,18-10-22 18:17,93.17.87.90,48.187.176.232,53453,12523,UDP,828,Control,DNS,Alert Triggered,0,Logged,High,Opera/9.98.(Windows NT 6.1; lo-LA) Presto/2.9.176 Version/11.00,Segment C,"Gorakhpur, Telangana",Unknown,Log Data,Alert Data,Firewall
10.42.0.211-69.147.64.34-34235-443-6,02-03-21 1:32,209.22.158.141,203.134.104.5,32816,47128,ICMP,1251,Control,FTP,Alert Triggered,0,Blocked,High,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.1),Segment B,"Pondicherry, Goa",Unknown,Log Data,Unknown,Firewall
172.217.3.99-10.42.0.151-443-40612-6,20-01-21 6:18,30.163.181.156,77.200.151.77,40610,36494,ICMP,995,Data,FTP,Unknown,0,Blocked,Low,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.0),Segment A,"Satara, Karnataka",30.211.142.11,Unknown,Unknown,Server
203.130.53.126-10.42.0.151-80-40148-6,10-02-20 10:28,18.87.139.154,37.179.15.110,26618,4667,ICMP,1352,Control,HTTP,Unknown,0,Blocked,Low,Opera/8.77.(Windows NT 6.1; vi-VN) Presto/2.9.176 Version/10.00,Segment A,"Khora , Kerala",Unknown,Log Data,Unknown,Firewall
172.217.12.170-10.42.0.151-443-33003-6,17-06-22 16:06,163.36.191.142,19.197.108.150,22734,55663,UDP,485,Control,DNS,Alert Triggered,0,Ignored,Low,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/62.0.896.0 Safari/534.1",Segment A,"Morena, Telangana",Unknown,Log Data,Unknown,Firewall
202.77.129.161-10.42.0.211-80-45706-6,06-10-22 23:20,79.36.19.75,216.109.172.113,56116,4497,UDP,556,Control,DNS,Alert Triggered,0,Logged,Low,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4 rv:5.0; ko-KR) AppleWebKit/533.12.2 (KHTML, like Gecko) Version/4.0.5 Safari/533.12.2",Segment C,"Bulandshahr, West Bengal",199.89.131.101,Log Data,Alert Data,Server
10.42.0.211-77.234.41.79-52308-443-6,30-04-21 6:38,141.176.88.58,171.132.193.232,58977,8703,ICMP,1366,Data,DNS,Alert Triggered,1,Logged,Medium,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/9.7o5929.0 Mobile/98Q432 Safari/532.1",Segment A,"Cuttack, Nagaland",199.198.9.52,Log Data,Alert Data,Firewall
157.240.2.20-10.42.0.42-443-49574-6,31-12-20 12:25,85.185.104.208,91.21.46.154,58725,50223,TCP,740,Control,HTTP,Unknown,0,Blocked,High,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; en-AG) AppleWebKit/534.12.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.12.4",Segment B,"Hajipur, Kerala",175.63.92.61,Log Data,Alert Data,Server
172.217.11.35-10.42.0.151-443-50521-6,31-10-20 0:03,141.184.182.68,199.96.144.55,25088,61053,TCP,1179,Control,DNS,Unknown,0,Ignored,High,Opera/9.67.(Windows NT 5.1; ka-GE) Presto/2.9.160 Version/10.00,Segment B,"Farrukhabad, Sikkim",Unknown,Log Data,Unknown,Firewall
172.217.11.8-10.42.0.211-443-52242-6,04-10-21 6:34,3.176.91.203,58.20.236.66,45271,65496,ICMP,260,Data,HTTP,Alert Triggered,0,Ignored,Low,Mozilla/5.0 (Android 2.1; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0,Segment B,"Farrukhabad, Uttar Pradesh",8.109.32.216,Log Data,Alert Data,Server
10.42.0.211-64.71.142.120-53882-443-6,25-05-21 15:31,46.39.176.99,14.117.92.88,33649,62009,TCP,80,Data,FTP,Unknown,0,Blocked,Low,Opera/9.79.(X11; Linux x86_64; te-IN) Presto/2.9.163 Version/10.00,Segment B,"Kolkata, Manipur",Unknown,Unknown,Alert Data,Server
10.42.0.151-121.12.98.63-45052-80-6,30-07-21 7:47,176.248.121.35,184.76.162.204,40911,35933,TCP,458,Data,HTTP,Unknown,0,Ignored,Medium,"Mozilla/5.0 (Linux; Android 2.3.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/55.0.822.0 Safari/531.0",Segment C,"Khammam, Punjab",91.130.151.222,Log Data,Alert Data,Firewall
10.42.0.211-106.39.162.36-39575-80-6,20-03-21 18:34,201.98.96.31,89.194.35.248,28494,35435,ICMP,1409,Data,FTP,Unknown,0,Ignored,Medium,"Mozilla/5.0 (Windows 95) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/38.0.858.0 Safari/533.2",Segment C,"Haldia, Assam",Unknown,Unknown,Unknown,Server
140.205.164.47-10.42.0.151-443-40833-6,02-07-21 18:09,71.213.168.142,13.133.189.117,1309,15705,ICMP,141,Data,FTP,Unknown,0,Blocked,High,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/10.0a8156.0 Mobile/67T501 Safari/534.0",Segment C,"Gaya, Tripura",Unknown,Log Data,Unknown,Server
10.42.0.211-121.14.255.83-36022-80-6,13-09-22 23:04,110.255.252.172,217.241.58.49,16123,41356,UDP,724,Control,FTP,Unknown,0,Blocked,Low,Opera/8.47.(X11; Linux i686; th-TH) Presto/2.9.164 Version/11.00,Segment B,"Hubliƒ??Dharwad, Rajasthan",34.245.17.186,Unknown,Unknown,Firewall
172.217.11.36-10.42.0.211-443-50080-6,25-10-22 14:49,99.136.41.66,201.113.161.80,39147,51832,UDP,346,Control,FTP,Unknown,0,Logged,Medium,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.19.6 (KHTML, like Gecko) Version/4.0.5 Safari/534.19.6",Segment A,"Bidhannagar, Maharashtra",Unknown,Log Data,Alert Data,Firewall
173.194.207.102-10.42.0.42-443-48288-6,17-07-23 9:50,90.193.217.136,174.213.13.59,38554,57870,TCP,1448,Data,FTP,Unknown,1,Ignored,Medium,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/9.1u4772.0 Mobile/23Z435 Safari/533.0",Segment C,"Danapur, Goa",58.85.16.180,Unknown,Alert Data,Firewall
10.42.0.151-10.42.0.1-1787-53-17,23-01-20 7:09,180.10.181.115,22.163.37.43,17622,53814,UDP,110,Data,FTP,Alert Triggered,0,Blocked,Low,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_3 rv:5.0; kn-IN) AppleWebKit/532.50.5 (KHTML, like Gecko) Version/5.0.2 Safari/532.50.5",Segment A,"Kavali, Rajasthan",18.219.240.210,Unknown,Unknown,Firewall
10.42.0.211-10.42.0.1-4729-53-17,18-10-20 20:02,140.22.151.195,14.63.226.144,55683,50575,TCP,902,Data,DNS,Alert Triggered,0,Logged,Medium,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/13.6v5652.0 Mobile/59A347 Safari/532.1",Segment C,"Kadapa, Maharashtra",Unknown,Log Data,Alert Data,Firewall
198.11.190.8-10.42.0.211-443-58984-6,29-02-20 21:00,35.67.79.146,88.232.84.164,20474,41937,TCP,282,Data,FTP,Alert Triggered,0,Blocked,High,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/22.0.813.0 Safari/532.1",Segment B,"Madhyamgram, Sikkim",Unknown,Unknown,Unknown,Server
10.42.0.151-111.206.25.159-43643-80-6,13-04-21 19:14,195.104.249.7,174.196.57.118,15635,32578,TCP,1048,Data,DNS,Unknown,0,Ignored,Low,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0),Segment B,"Bhiwandi, Punjab",203.117.115.188,Unknown,Alert Data,Server
10.42.0.211-31.13.69.245-51559-443-6,03-08-23 11:13,184.238.232.254,115.253.206.235,52672,63820,UDP,798,Control,FTP,Unknown,0,Blocked,High,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/59.0.853.0 Safari/535.2",Segment B,"Kottayam, Manipur",Unknown,Log Data,Alert Data,Firewall
172.217.11.3-10.42.0.42-80-52744-6,05-02-21 16:55,159.48.6.42,77.65.208.20,38734,22325,TCP,738,Control,HTTP,Alert Triggered,0,Ignored,High,Opera/9.21.(X11; Linux x86_64; ak-GH) Presto/2.9.182 Version/10.00,Segment C,"Shimla, Himachal Pradesh",Unknown,Unknown,Unknown,Server
202.77.129.150-10.42.0.211-80-47907-6,26-11-21 23:55,110.176.12.179,207.217.240.209,10285,59966,UDP,1182,Data,DNS,Unknown,0,Blocked,Low,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_9 rv:4.0; sa-IN) AppleWebKit/534.47.4 (KHTML, like Gecko) Version/4.0.3 Safari/534.47.4",Segment C,"Ludhiana, Manipur",212.24.111.101,Log Data,Alert Data,Server
10.42.0.211-10.42.0.1-16360-53-17,12-11-20 0:17,66.105.254.64,131.44.21.167,8971,53770,ICMP,551,Data,DNS,Unknown,0,Blocked,Low,Opera/9.60.(X11; Linux i686; is-IS) Presto/2.9.183 Version/10.00,Segment C,"Dehradun, Madhya Pradesh",57.173.11.205,Unknown,Unknown,Firewall
10.42.0.151-10.42.0.1-21361-53-17,14-12-20 5:43,42.178.33.165,210.46.141.222,28042,6476,TCP,588,Data,DNS,Unknown,0,Logged,Low,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; sc-IT) AppleWebKit/535.45.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6535.45.5",Segment A,"Bikaner, Rajasthan",87.62.11.72,Unknown,Unknown,Firewall
10.42.0.42-54.230.38.132-38623-80-6,17-04-23 12:48,178.227.11.132,117.247.100.54,52111,53795,ICMP,1453,Control,HTTP,Unknown,0,Blocked,Low,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/4531-01-25 19:40:36 Firefox/3.8,Segment B,"Hubliƒ??Dharwad, Sikkim",121.175.47.76,Unknown,Unknown,Server
10.42.0.211-52.84.29.154-52848-443-6,04-06-22 2:42,116.8.4.61,223.173.123.239,50934,17077,UDP,478,Control,HTTP,Alert Triggered,0,Ignored,High,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0),Segment A,"Tiruvottiyur, Tripura",Unknown,Log Data,Unknown,Firewall
10.42.0.211-10.42.0.1-39690-53-17,08-06-21 20:31,46.221.234.113,165.88.48.132,3530,3573,ICMP,819,Control,FTP,Alert Triggered,0,Logged,Low,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/56.0.892.0 Safari/535.2",Segment A,"Alappuzha, West Bengal",116.70.215.125,Unknown,Alert Data,Server
172.217.9.227-10.42.0.42-443-51907-6,27-05-21 18:34,44.183.113.146,47.144.77.115,51102,60224,TCP,1059,Control,HTTP,Alert Triggered,1,Ignored,High,Mozilla/5.0 (Android 4.0.3; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,Segment B,"Ozhukarai, Meghalaya",65.41.29.54,Log Data,Alert Data,Firewall
180.149.136.247-10.42.0.211-80-44079-6,04-03-22 14:14,58.129.185.66,10.60.247.187,55829,47481,ICMP,615,Data,HTTP,Alert Triggered,0,Blocked,Low,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1 rv:5.0; ln-CD) AppleWebKit/533.8.4 (KHTML, like Gecko) Version/5.0 Safari/533.8.4",Segment C,"Bathinda, Haryana",17.102.10.33,Unknown,Unknown,Firewall
10.42.0.211-52.45.132.202-44444-80-6,31-01-23 5:52,130.127.38.42,202.104.195.94,47256,29493,UDP,972,Data,HTTP,Unknown,0,Blocked,Low,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_3 rv:3.0; nan-TW) AppleWebKit/531.32.4 (KHTML, like Gecko) Version/4.1 Safari/531.32.4",Segment C,"Buxar, Gujarat",16.187.100.115,Log Data,Alert Data,Firewall
172.217.12.161-10.42.0.211-443-56082-6,22-09-20 5:38,139.89.181.222,106.139.22.91,61418,62712,UDP,735,Control,DNS,Alert Triggered,0,Ignored,Low,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.0),Segment A,"Jehanabad, Tamil Nadu",Unknown,Log Data,Unknown,Firewall
10.42.0.211-103.235.46.212-35014-443-6,14-04-21 1:26,130.195.170.188,11.228.84.111,40217,8686,UDP,417,Control,FTP,Alert Triggered,0,Blocked,Medium,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3; rv:1.9.4.20) Gecko/8019-06-07 19:50:24 Firefox/11.0,Segment A,"Jehanabad, Sikkim",Unknown,Log Data,Unknown,Firewall
10.42.0.211-10.42.0.1-23680-53-17,21-02-23 15:05,198.140.168.46,63.198.196.171,50374,18574,ICMP,920,Data,DNS,Unknown,0,Blocked,Low,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.1),Segment C,"Jaunpur, Arunachal Pradesh",Unknown,Unknown,Alert Data,Server
10.42.0.211-10.42.0.1-59851-53-17,14-05-22 11:47,45.230.220.186,21.79.113.99,48080,30364,ICMP,1170,Data,HTTP,Unknown,0,Blocked,Medium,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/27.0.884.0 Safari/532.2",Segment A,"Vijayanagaram, Maharashtra",117.96.173.69,Log Data,Alert Data,Server
10.42.0.211-66.198.24.224-60677-80-6,28-06-20 21:49,209.39.143.62,58.136.82.65,31969,65264,ICMP,441,Control,DNS,Alert Triggered,0,Ignored,Low,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1),Segment B,"Indore, Karnataka",165.120.68.148,Log Data,Alert Data,Server
10.42.0.211-121.12.98.64-52152-80-6,28-09-21 16:43,23.75.139.246,65.22.250.70,4117,27097,ICMP,1161,Control,HTTP,Alert Triggered,0,Blocked,High,Mozilla/5.0 (Android 8.1.0; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0,Segment A,"Panvel, Goa",Unknown,Unknown,Unknown,Firewall
10.42.0.151-52.84.29.154-34143-443-6,27-08-22 2:19,191.190.65.131,44.102.9.30,11732,6760,ICMP,398,Data,HTTP,Unknown,0,Blocked,Low,Mozilla/5.0 (Android 7.1.2; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0,Segment C,"Kamarhati, Manipur",Unknown,Log Data,Alert Data,Firewall
172.217.10.106-10.42.0.42-443-46765-6,15-05-23 19:22,60.244.117.22,75.214.69.25,16419,5083,TCP,1385,Control,FTP,Unknown,0,Ignored,Low,Mozilla/5.0 (Android 4.0; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0,Segment A,"Muzaffarnagar, Uttar Pradesh",86.121.12.122,Log Data,Alert Data,Server
183.79.250.123-10.42.0.42-443-59113-6,18-02-23 1:35,196.147.154.204,207.173.89.80,24318,47159,UDP,1494,Data,FTP,Unknown,0,Blocked,Low,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/21.0.811.0 Safari/535.0",Segment A,"Ludhiana, Chhattisgarh",46.33.70.119,Log Data,Unknown,Firewall
211.236.244.151-10.42.0.211-80-53161-6,30-10-21 14:34,172.250.143.183,34.163.94.53,28279,7403,TCP,168,Control,HTTP,Unknown,0,Ignored,High,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.1),Segment C,"Ahmedabad, Sikkim",207.49.24.254,Unknown,Alert Data,Firewall
140.205.230.8-10.42.0.211-80-38420-6,09-09-22 6:02,111.8.246.204,173.54.182.199,22657,11342,ICMP,1188,Control,FTP,Unknown,0,Logged,High,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_7) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/24.0.884.0 Safari/535.2",Segment A,"Purnia, Odisha",220.12.62.194,Unknown,Unknown,Firewall
172.217.5.228-10.42.0.211-443-44464-6,04-10-21 19:01,109.196.245.133,164.86.192.101,50520,29008,UDP,204,Data,DNS,Alert Triggered,1,Blocked,High,"Mozilla/5.0 (Linux; Android 4.3) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/36.0.847.0 Safari/531.1",Segment A,"Muzaffarnagar, Bihar",74.243.117.134,Log Data,Alert Data,Server
172.217.10.78-10.42.0.151-443-51000-6,21-06-21 13:17,64.113.62.53,159.111.23.255,63711,19193,TCP,531,Control,DNS,Alert Triggered,0,Logged,Medium,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/40.0.843.0 Safari/536.0",Segment A,"Raurkela Industrial Township, Kerala",Unknown,Unknown,Unknown,Firewall
172.217.12.163-10.42.0.42-443-42644-6,08-06-20 7:54,206.24.32.126,202.200.17.123,50783,49396,ICMP,976,Control,HTTP,Alert Triggered,0,Logged,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/12.3r7573.0 Mobile/05K746 Safari/534.0",Segment C,"Bhiwandi, Arunachal Pradesh",144.3.23.255,Log Data,Alert Data,Server
183.79.248.252-10.42.0.151-443-57233-6,28-04-22 8:20,146.154.251.167,222.251.227.81,63689,32445,UDP,1484,Data,HTTP,Unknown,1,Logged,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/63.0.859.0 Mobile/52B913 Safari/532.0",Segment A,"Suryapet, Punjab",Unknown,Log Data,Alert Data,Server
10.42.0.211-10.42.0.1-3648-53-17,11-03-22 20:49,37.156.63.198,130.131.91.230,25120,15747,TCP,822,Data,HTTP,Alert Triggered,0,Blocked,Low,Opera/9.96.(Windows NT 5.01; da-DK) Presto/2.9.190 Version/12.00,Segment B,"Begusarai, Punjab",31.176.162.160,Unknown,Unknown,Firewall
10.42.0.211-64.71.142.124-55662-443-6,15-04-21 5:55,81.68.203.53,161.124.157.169,36453,43417,UDP,1296,Control,FTP,Unknown,0,Ignored,High,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_9) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/56.0.800.0 Safari/533.1",Segment A,"Mysore, Punjab",24.125.183.205,Log Data,Alert Data,Firewall
10.42.0.211-10.42.0.1-16610-53-17,09-12-21 20:55,88.237.79.198,170.95.128.107,14584,25217,TCP,564,Data,FTP,Alert Triggered,0,Ignored,Medium,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.0),Segment C,"Nizamabad, Meghalaya",163.72.223.169,Log Data,Alert Data,Firewall
10.42.0.42-54.230.39.201-50855-443-6,06-07-23 3:58,59.107.203.133,169.31.218.184,44914,41187,UDP,291,Data,HTTP,Alert Triggered,1,Blocked,High,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/58.0.879.0 Mobile/70M047 Safari/531.2",Segment A,"Kalyan-Dombivli, Himachal Pradesh",56.217.34.12,Unknown,Alert Data,Server
180.149.134.221-10.42.0.211-80-34069-6,25-10-22 19:38,122.174.36.246,12.64.179.55,44896,38251,UDP,1120,Control,HTTP,Unknown,0,Ignored,Medium,Opera/8.20.(Windows CE; ca-FR) Presto/2.9.181 Version/10.00,Segment C,"Sonipat, Odisha",Unknown,Log Data,Alert Data,Server
172.217.10.46-10.42.0.151-443-57933-6,22-08-23 23:44,139.56.233.2,69.202.174.44,7901,28521,TCP,1030,Data,FTP,Unknown,0,Blocked,High,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3 rv:4.0; kok-IN) AppleWebKit/535.32.7 (KHTML, like Gecko) Version/5.1 Safari/535.32.7",Segment C,"Durgapur, Andhra Pradesh",Unknown,Unknown,Unknown,Firewall
172.217.9.228-10.42.0.211-443-57975-6,09-09-23 0:05,71.190.147.142,17.79.22.185,52737,32881,ICMP,1292,Control,FTP,Alert Triggered,0,Ignored,Low,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),Segment A,"Chittoor, Bihar",Unknown,Log Data,Unknown,Server
10.42.0.151-10.42.0.1-58664-53-17,15-01-22 10:31,72.156.198.146,152.180.70.82,37601,63491,ICMP,925,Control,DNS,Unknown,0,Ignored,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/23.0.867.0 Mobile/96D260 Safari/531.2",Segment B,"Kirari Suleman Nagar, Kerala",Unknown,Log Data,Alert Data,Firewall
182.22.65.137-10.42.0.151-443-41720-6,03-08-20 7:20,33.163.77.38,78.81.170.249,23316,11379,TCP,1179,Control,HTTP,Alert Triggered,0,Logged,Medium,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/9794-12-26 04:58:50 Firefox/10.0,Segment B,"Amroha, Manipur",Unknown,Unknown,Unknown,Server
